3203;Horažďovice;4;2;36;8;12;33%;25;39;0;50;37;38;35;39;42;39;31;38;5;5;55;59;40;30;31;29;32;34;32;26;31;284;0;162;122;284;66%;284;0;;Horažďovice;3203;;3107;53;;3107;15
3204;Horšovský Týn;5;1;7;15;17;29%;5;30;0;35;29;30;35;32;11;2;11;29;19;10;12;59;24;20;21;24;22;6;0;6;20;144;0;112;32;143;51%;143;0;;Horšovský Týn;3204;;3108;295;;3108;88
3205;Klatovy;18;7;92;26;62;29%;45;133;74;140;125;135;134;78;117;139;158;94;0;6;167;263;116;104;112;111;69;87;104;118;70;891;0;512;379;891;51%;891;0;;Klatovy;3205;;4101;94;;4101;26
3206;Kralovice;16;12;69;15;30;53%;49;65;41;55;47;55;31;41;40;31;37;37;0;0;3;114;42;36;42;24;32;25;18;23;23;265;0;177;88;265;57%;265;0;;Kralovice;3206;;4107;241;;4107;63
3207;Nepomuk;5;3;43;11;12;42%;34;32;10;26;14;28;23;25;19;22;17;19;0;10;90;50;27;18;28;24;26;20;22;19;20;203;0;122;81;203;64%;203;0;;Nepomuk;3207;;5207;272;;5207;80
3208;Nýřany;8;1;32;40;43;19%;19;42;42;50;35;45;28;38;48;35;41;43;2;6;163;189;41;30;37;25;32;33;24;28;30;280;0;165;115;280;22%;280;0;;Nýřany;3208;;5302;71;;5302;22
3209;Plzeň;15;13;178;184;523;3%;-237;360;33;197;193;193;190;230;217;153;160;179;6;35;567;2054;12;9;9;7;37;23;-25;-20;-6;95;-51;73;-29;44;18%;44;0;;Plzeň;3209;;5314;174;;5314;46
3210;Přeštice;1;1;19;1;24;4%;-8;16;16;22;39;24;18;18;19;39;28;33;0;4;60;88;16;29;17;13;13;11;26;18;22;165;0;88;78;165;18%;165;0;;Praha 22;1122;;6203;2907;;6203;808
3211;Rokycany;5;3;44;79;82;6%;15;88;71;84;105;87;69;83;63;81;99;134;0;6;260;258;76;92;79;65;76;50;64;77;103;683;0;388;294;683;34%;683;0;;Praha 5;1105;;6206;86;;6206;29
3212;Stod;6;1;37;24;49;12%;3;88;4;12;12;12;7;16;16;13;15;14;0;0;4;174;0;0;0;-3;3;3;1;2;1;11;-3;1;7;8;51%;8;0;;Roudnice nad Labem;4211;;6220;466;;6220;127
